Month,Score,Strain,Node
2023-07,0.988000563517212,XCH,node_2433826
2023-07,0.8701140910362843,EG.5.1,node_2340748
2023-08,0.8764302413179793,XBB.1.5.70,node_2434422
2023-05,1.543716033643231,GE.1,node_2488198
2023-07,1.1187085503045662,EG.5.1.3,node_2340355
2023-04,1.5566500498763134,BA.2,node_2620270
2022-07,1.1580821505166445,BA.2.10.1,node_2289655
2023-08,1.0002372835292666,HK.6,node_2336576
2023-07,0.999605844702813,XBB.1.16,node_2298525
2023-06,1.034522340974063,XBB.1,node_2291749
2023-07,1.1689546825762553,EG.5.1.6,node_2334521
2023-07,0.8938925586730004,EG.5.2,node_2332910
2023-08,1.0598610560974497,EG.5.1,node_2334145
2023-06,1.1162669400712855,XBB.1.16,node_2298914
2023-05,1.029386707946757,XCJ,node_2483312
2023-05,1.0681389804606736,XBB.1,node_2291747
2023-07,1.5438455800623194,GE.1,node_2488394
2023-07,1.023631511134727,XBB.1.16,node_2294783
2023-06,0.9678594799289872,XBB.2.3.11,node_2486623
2023-07,1.0564238316661778,EG.5.1.4,node_2333899
2023-06,1.0301001630617173,XBB.1.16.6,node_2310305
2022-04,0.7085294817897732,BA.2.10.1,node_2289580
2023-06,1.0881076574295045,XCK,node_2399170
2023-07,1.171778485765369,XBB.1.16,node_2292523
2023-05,1.1162669400712855,XBB.1.16,node_2298913
2023-05,1.1435568715828521,XBB.2.3,node_2489041
2023-07,1.659427151903554,XBB.1.16,node_2293534
2023-06,0.9938745589773264,XBB.1.9.1,node_2350980
2023-07,0.9768768711104736,XBL.3,node_2317325
2023-06,1.0200543631048629,XBB.1.5_17124,node_2430915
2023-06,0.9424820178027257,GF.1,node_2318607
2023-04,0.951158647213948,XBB.1,node_2291802
2023-06,1.159946950972724,FE.1.2,node_2369802
2023-06,1.0571168871180274,XBB.1.16,node_2292522
2023-06,1.0252566673106136,XBB.1.16,node_2300964
2023-05,1.0352423286236032,GE.1,node_2488477
2023-06,0.9208832076660955,EG.5.1.1,node_2337026
2023-04,0.9813746731110132,XBB.2.3,node_2489306
2023-07,1.1266966286325169,FL.1.5,node_2352162
2023-06,1.3102960947938491,BF.7,node_3234202
2023-05,1.0595517167101949,XBB.1.16.1,node_2305420
2023-06,1.7980749221844192,XBB.1.16.2,node_2308979
2023-06,1.038340526091833,XBB.1,node_2291782
2023-04,1.5517040968215439,XBB.1.16,node_2300534
2023-06,1.015726797585401,FL.25,node_2328010
2023-04,1.161691443326995,FL.4.8,node_2358124
2023-05,1.4760285784273988,XBB.1.9.1,node_2326914
2023-06,1.006451877721872,EG.5.1,node_2333503
2023-04,1.4378608396455328,XBB.1.5.20,node_2402808
2023-05,0.9210871233399627,XBC.1.6,node_2155229
2023-04,1.0063694957070903,XBB.1.9.1,node_2355176
2023-05,1.0061776507955655,XBB.2.3.3,node_2485420
2023-04,1.6797152958756196,XBB.1.5.71,node_2435123
2023-03,0.8837654719584538,XBB.1.5,node_2317945
2023-05,1.1206921066366173,GJ.1.2,node_2484169
2023-04,1.0494210578738463,XBB.1.5_17124,node_2399161
2023-05,0.9654291284190613,FL.22,node_2350878
2023-05,1.2826357002049094,XBB.1.16,node_2292865
2023-06,0.9604292353420787,XBB.1.5.71,node_2435084
2023-04,0.9214725880333741,FL.9,node_2354941
2023-04,1.0401765976537996,XBB.1.5,node_2317964
2023-02,1.0650107167954375,XBB.1.9,node_2365308
2023-05,1.0636838814528806,FE.1.1.1,node_2368569
2023-03,1.5774469760993166,XBB.1.9.1,node_2327275
2023-06,0.9998864935227422,XBB.1.16.1,node_2305659
2023-04,1.510608007360521,XBB.1.5.71,node_2435191
2023-05,0.991796242289073,XBB.1.5_17124,node_2400766
2023-05,1.0393730260887888,GY.5,node_2309193
2023-03,1.2757741301817669,XBB.1.5,node_2317960
2023-04,0.9813716420897947,XBB.1.22,node_2316620
2023-05,1.0109509770655605,XBB.1.18.1,node_2368128
2023-02,1.0656021628784127,XBB.1.5_17124,node_2399167
2023-05,1.0066339812713931,XBB.1.9,node_2323000
2023-04,1.012027454057141,XBB.1.5.20,node_2402714
2023-03,0.9352384361129545,HZ.3,node_2454137
2023-01,0.8841219048537468,XBB.1.5_17124,node_2448657
2023-04,0.9647812749160469,FD.1.1,node_2410413
2023-05,1.0361763340098074,XBB.1.5_17124,node_2400745
2023-02,1.0316996002220218,FW.3,node_2371334
2023-05,1.4742153758385335,XBB.1.5_17124,node_2399946
2023-05,0.9556891773590243,XBB.1,node_2291732
2023-04,1.3148535187210724,XBC.1.6.4,node_2155204
2023-04,0.831189299776942,XBB.1.9.1,node_2329855
2021-12,1.0571499128123778,BA.2_dropout,node_2155522
2023-05,1.099338263745411,XBB.1.16.1,node_2307263
2023-04,1.0294970437339206,XBB.1.5_17124,node_2432183
2023-05,0.9648930741886911,XBB.1.5.43,node_2317874
2023-02,1.0,XBB.1.5_17124,node_2408172
2023-04,0.9903351836354725,FL.5,node_2353713
2023-02,1.0,XBB.1.5_17124,node_2408173
2023-01,1.1154805956931382,XBB.1.5_17124,node_2408169
2023-03,1.647654735898644,XBB.1.5_17124,node_2382870
2023-03,1.0307746236837552,XBB.1.5,node_2317119
2023-01,0.8841219048537468,XBB.1.5_17124,node_2448656
2023-02,1.4467626662038775,BA.2,node_2253578
2023-04,1.6418122802910886,FL.26,node_2326641
2023-02,1.0878821160735337,FL.13,node_2323933
2023-03,1.0328906639509776,BY.1,node_2599460
2023-03,1.0121910536090009,XBB.1.43.1,node_2322687
2023-03,1.0280915922007707,FL.4,node_2356639
2023-03,0.9963404950443867,XBB.1.5_17124,node_2399111
2022-06,3.0031775138017367,B.1.1.529,node_2153490
2023-02,1.494559727155929,FL.3.2,node_2363173
2023-03,0.8902624540854699,XBB.1.5.1,node_2432536
2023-04,1.1753745803895534,BN.1.2,node_2556291
2023-04,1.8292006694873446,XBB.1.5_17124,node_2442953
2023-03,1.0,XBB.1.5_17124,node_2408194
2023-01,1.1569689861122654,BA.2,node_2253573
2023-01,1.1191226688300788,BY.1,node_2599458
2023-03,1.4652826903374565,XBB.1.5_17124,node_2385310
2023-03,0.98019355052914,CH.1.1.7,node_2585114
2023-03,1.0962087573672183,XBB.1.5_17124,node_2448672
2023-04,1.0442803944021968,EG.2,node_2343109
2023-04,1.070214914305073,XBB.1.9,node_2323043
2023-03,1.012371700473603,XBB.1.5_17124,node_2448706
2023-02,0.8729516654511296,XBB.1.5_17124,node_2408191
2023-03,1.1840500706754766,XBB.1.16,node_2297322
2023-03,0.9733223962292981,XBB.1.5_17124,node_2431319
2023-04,1.1051140602649174,XBB.1.16,node_2312937
2023-02,1.4798512369048804,XBB.1.5_17124,node_2425963
2023-03,1.0002400069995099,XBB.1.5_17124,node_2444913
2021-10,1.0832742800372812,BA.2_dropout,node_2155520
2023-03,1.1632230137599633,XBB.1,node_2374875
2023-04,1.0891950525100673,XBB.1.16.1,node_2307653
2022-12,0.9803866739267124,BY.1,node_2599453
2022-12,1.1772889656355534,XCA,node_2535950
2023-03,0.9300090492266708,XBB,node_2476559
2023-03,1.0175372987205396,XBB.1.5.18,node_2425496
2023-02,1.1767329025387978,BQ.1.1,node_2909990
2023-01,1.0708027016270973,XBB.1.5_17124,node_2397610
2023-03,0.9683684682133402,XBB.1.5_17124,node_2407149
2023-04,1.471387666746704,XBB.1.5_17124,node_2438917
2022-11,0.9838255259801566,XBT,node_3363547
2023-01,1.177641391322029,BR.2,node_2538622
2023-01,0.9995693363977031,BR.2,node_2538623
2023-04,1.000187020866327,DV.1,node_2579929
2023-01,1.194505953296302,DV.1,node_2579926
2022-07,1.6302065833753656,XAY,node_2152938
2023-04,1.2126483648036346,GP.2,node_2570875
2023-02,1.161693674620588,XBB.1.5_17124,node_2407120
2022-10,1.0852263611878987,BA.2.75,node_2535852
2023-01,1.130517249752523,XBB,node_2476043
2023-03,0.9999600015999361,XBB.1.5_17124,node_2408175
2023-02,0.9394995539810993,BA.5.2.1,node_3168776
2023-03,1.0338178061375758,CH.1.1.28,node_2585374
2023-02,0.9438196673731241,CH.1.1.30,node_2576975
2023-02,1.4652826903374565,XBB.1.5_17124,node_2433703
2023-02,1.1260427144610106,XBB.2,node_2489458
2022-12,0.9950500625000096,XCB,node_2777910
2023-03,1.5272994197646232,EU.1.1.1,node_2465750
2022-12,1.2598546229456076,BA.1.17,node_1797366
2022-11,1.051782269997376,BA.2,node_2253572
2023-02,0.9517967218781309,XBB.1.5_17124,node_2407123
2022-11,0.8694827502474769,BA.2.75,node_2534988
2023-03,1.025949147575969,XBB.1.5_17124,node_2408420
2023-03,1.6683808598485812,XBB.1.5.45,node_2320600
2023-02,1.0380325549606373,XBB.1.9.1,node_2323607
2023-01,1.2809315509647479,BQ.1.1.18,node_2821543
2022-11,1.2124064787512632,BA.2.3.20,node_2523918
2022-11,0.8159499293245233,XBB,node_2476042
2022-12,1.0227817945159388,BQ.1.1.35,node_2875912
2023-02,1.0471455083164274,XBB.1.5_17124,node_2399343
