Month,Score,Strain,Node
2023-07,0.983294854214726,XCH,node_2433826
2023-07,0.7676517519606767,EG.5.1,node_2340748
2023-08,0.757476391131058,XBB.1.5.70,node_2434422
2023-05,0.9999819999999997,GE.1,node_2488198
2023-07,1.0,EG.5.1.3,node_2340355
2023-04,1.359063933641502,BA.2,node_2620270
2022-07,0.9543467634184539,BA.2.10.1,node_2289655
2023-08,0.870329593817179,HK.6,node_2336576
2023-07,0.9992120000000002,XBB.1.16,node_2298525
2023-06,0.8743988538948422,XBB.1,node_2291749
2023-07,1.0001399999999996,EG.5.1.6,node_2334521
2023-07,0.827101407068841,EG.5.2,node_2332910
2023-08,0.9112254162336564,EG.5.1,node_2334145
2023-06,1.0,XBB.1.16,node_2298914
2023-05,0.9602573335253736,XCJ,node_2483312
2023-05,0.9683596692056762,XBB.1,node_2291747
2023-07,1.0,GE.1,node_2488394
2023-07,1.0,XBB.1.16,node_2294783
2023-06,0.937500926975435,XBB.2.3.11,node_2486623
2023-07,1.0002499999999996,EG.5.1.4,node_2333899
2023-06,0.96141828425293,XBB.1.16.6,node_2310305
2022-04,0.5314374762993856,BA.2.10.1,node_2289580
2023-06,0.9717044254070131,XCK,node_2399170
2023-07,1.1353322212227304,XBB.1.16,node_2292523
2023-05,1.0,XBB.1.16,node_2298913
2023-05,0.9490160104055415,XBB.2.3,node_2489041
2023-07,1.0163892770931267,XBB.1.16,node_2293534
2023-06,0.9435470471102879,XBB.1.9.1,node_2350980
2023-07,0.873771891363775,XBL.3,node_2317325
2023-06,0.9028774704984788,XBB.1.5_17124,node_2430915
2023-06,0.8582526328499764,GF.1,node_2318607
2023-04,0.9024677629860801,XBB.1,node_2291802
2023-06,1.1076253785000003,FE.1.2,node_2369802
2023-06,0.9907693732150753,XBB.1.16,node_2292522
2023-06,1.0055258063128252,XBB.1.16,node_2300964
2023-05,1.0036200000000002,GE.1,node_2488477
2023-06,0.7681718244976107,EG.5.1.1,node_2337026
2023-04,0.905489418448402,XBB.2.3,node_2489306
2023-07,1.068836823568861,FL.1.5,node_2352162
2023-06,1.0629382003731502,BF.7,node_3234202
2023-05,0.9618797650293709,XBB.1.16.1,node_2305420
2023-06,0.9470504114934037,XBB.1.16.2,node_2308979
2023-06,0.9614182842529299,XBB.1,node_2291782
2023-04,1.0,XBB.1.16,node_2300534
2023-06,0.987153268338698,FL.25,node_2328010
2023-04,0.9971089192625535,FL.4.8,node_2358124
2023-05,1.0002270387248817,XBB.1.9.1,node_2326914
2023-06,0.8174181189758704,EG.5.1,node_2333503
2023-04,1.0,XBB.1.5.20,node_2402808
2023-05,0.8876719559844283,XBC.1.6,node_2155229
2023-04,0.976381335494391,XBB.1.9.1,node_2355176
2023-05,0.978165058332133,XBB.2.3.3,node_2485420
2023-04,1.0163892770931267,XBB.1.5.71,node_2435123
2023-03,0.7916861354617194,XBB.1.5,node_2317945
2023-05,0.9600851167543145,GJ.1.2,node_2484169
2023-04,1.0,XBB.1.5_17124,node_2399161
2023-05,0.9008218383235183,FL.22,node_2350878
2023-05,1.2626205051982453,XBB.1.16,node_2292865
2023-06,0.908456133926174,XBB.1.5.71,node_2435084
2023-04,0.8542781445259567,FL.9,node_2354941
2023-04,0.920076528004636,XBB.1.5,node_2317964
2023-02,1.0561550281777943,XBB.1.9,node_2365308
2023-05,0.9700330545637081,FE.1.1.1,node_2368569
2023-03,1.0,XBB.1.9.1,node_2327275
2023-06,0.9997730128100005,XBB.1.16.1,node_2305659
2023-04,1.0,XBB.1.5.71,node_2435191
2023-05,0.983725992591908,XBB.1.5_17124,node_2400766
2023-05,0.9614182842529299,GY.5,node_2309193
2023-03,1.0,XBB.1.5,node_2317960
2023-04,0.9419898304081818,XBB.1.22,node_2316620
2023-05,1.0,XBB.1.18.1,node_2368128
2023-02,1.0535756510999994,XBB.1.5_17124,node_2399167
2023-05,1.0001330290003225,XBB.1.9,node_2323000
2023-04,1.0,XBB.1.5.20,node_2402714
2023-03,0.8782468226688028,HZ.3,node_2454137
2023-01,0.7923104761168994,XBB.1.5_17124,node_2448657
2023-04,0.931958871626676,FD.1.1,node_2410413
2023-05,1.0,XBB.1.5_17124,node_2400745
2023-02,0.9999789999999997,FW.3,node_2371334
2023-05,1.0000449867,XBB.1.5_17124,node_2399946
2023-05,0.9325161168569286,XBB.1,node_2291732
2023-04,0.7852059290076592,XBC.1.6.4,node_2155204
2023-04,0.7110702925960327,XBB.1.9.1,node_2329855
2021-12,0.9975269986545644,BA.2_dropout,node_2155522
2023-05,1.0414281295499996,XBB.1.16.1,node_2307263
2023-04,1.0289667513368752,XBB.1.5_17124,node_2432183
2023-05,0.923952852635803,XBB.1.5.43,node_2317874
2023-02,1.0,XBB.1.5_17124,node_2408172
2023-04,0.980868865805452,FL.5,node_2353713
2023-02,1.0,XBB.1.5_17124,node_2408173
2023-01,1.00008,XBB.1.5_17124,node_2408169
2023-03,1.0,XBB.1.5_17124,node_2382870
2023-03,1.0,XBB.1.5,node_2317119
2023-01,0.7923104761168994,XBB.1.5_17124,node_2448656
2023-02,0.9580064587709303,BA.2,node_2253578
2023-04,0.9997730128100006,FL.26,node_2326641
2023-02,0.9564777280477018,FL.13,node_2323933
2023-03,1.0321900661047059,BY.1,node_2599460
