Month,Score,Strain,Node
2023-07,0.983294854214726,XCH,node_2433826
2023-07,0.7676517519606767,EG.5.1,node_2340748
2023-06,0.8127270537306716,XBB.1,node_2291749
2023-07,0.9724185458933998,EG.5.2,node_2332910
2023-05,0.9602573335253736,XCJ,node_2483312
2023-05,0.7610151993445049,XBB.1,node_2291747
2023-06,0.937500926975435,XBB.2.3.11,node_2486623
2023-07,0.9841509999999993,XBB.1.16,node_2294783
2023-07,1.0002499999999996,EG.5.1.4,node_2333899
2023-06,0.96141828425293,XBB.1.16.6,node_2310305
2023-07,1.143642853082081,XBB.1.16,node_2292523
2023-06,0.9435470471102879,XBB.1.9.1,node_2350980
2023-06,0.9047831238941076,GF.1,node_2318607
2023-04,0.9024677629860801,XBB.1,node_2291802
2023-06,0.947768158698586,XBB.1.16,node_2292522
2023-06,1.0055258063128252,XBB.1.16,node_2300964
2023-05,1.0036200000000002,GE.1,node_2488477
2023-04,0.905489418448402,XBB.2.3,node_2489306
2023-05,0.9618797650293709,XBB.1.16.1,node_2305420
2023-04,1.0,XBB.1.16,node_2300534
2023-06,0.987153268338698,FL.25,node_2328010
2023-04,0.976381335494391,XBB.1.9.1,node_2355176
2023-05,0.978165058332133,XBB.2.3.3,node_2485420
2023-05,0.9761953450134516,GJ.1.2,node_2484169
2023-04,1.0,XBB.1.5_17124,node_2399161
2023-05,0.9008218383235183,FL.22,node_2350878
2023-02,1.0561550281777943,XBB.1.9,node_2365308
2023-05,0.9700330545637081,FE.1.1.1,node_2368569
2023-05,0.9614182842529299,GY.5,node_2309193
2023-04,0.9419898304081818,XBB.1.22,node_2316620
2023-02,1.0535756510999994,XBB.1.5_17124,node_2399167
2023-05,1.0001330290003225,XBB.1.9,node_2323000
2023-05,0.9325161168569286,XBB.1,node_2291732
2023-04,0.7852059290076592,XBC.1.6.4,node_2155204
2023-05,1.0414281295499996,XBB.1.16.1,node_2307263
2023-05,0.9160784400491315,XBB.1.5.43,node_2317874
2023-04,1.0289667513368752,XBB.1.5_17124,node_2432183
2023-02,1.0,FL.13,node_2323933
2023-03,1.0004699999999997,XBB.1.43.1,node_2322687
2023-03,0.992589,XBB.1.5_17124,node_2399111
2022-12,1.032297481105353,XCA,node_2535950
2023-03,0.9076763092882092,XBB.1.5_17124,node_2407149
2022-11,0.9473350935192484,XBT,node_3363547
2023-02,0.9659785682422991,XBB.1.5_17124,node_2407120
2022-12,0.9896689044057048,XCB,node_2777910
2023-02,0.9379432949297939,XBB.1.5_17124,node_2407123
2023-03,1.0229064505286543,XBB.1.5_17124,node_2408420
2022-12,1.0422522103181209,XBB.1,node_2371677
2022-10,1.0096225545299675,BA.5.2,node_3363545
2022-12,0.8647082671864448,BA.4_dropout,node_2759634
2022-10,0.7565631812403927,BA.4_dropout,node_2759619
2023-01,0.9953324973627115,BQ.1.1.66,node_2861778
2023-01,0.8510941582675046,BA.4_dropout,node_2759639
2022-09,1.04587600892562,BA.5.2,node_3363540
2022-10,0.9958473166894054,BN.1.3,node_2550083
2023-01,0.9838750000000002,XBB,node_2475905
2022-12,0.8599865759362931,BR.2.1,node_2537927
2023-01,0.9348180501607908,BQ.1.2.1,node_2811516
2023-01,0.7765707781590755,BA.4_dropout,node_2759643
2023-01,0.8579584085833942,BA.5.1,node_3013683
2023-02,0.9064587564202521,BA.4_dropout,node_2759623
2023-01,0.9652950501903578,BQ.1.24,node_2818909
2023-01,0.9185349067631399,BA.4_dropout,node_2759686
2022-12,1.000012651863824,BQ.1.30,node_2820142
2022-12,0.9046422385671601,BA.5.2.1,node_3234599
2023-01,1.1086418123865696,BQ.1.13,node_2805397
2022-12,1.0,BF.7,node_3219526
2022-12,0.9814015657690645,BA.5.3.1,node_2777925
2022-10,1.0,BA.2.3.20,node_2521889
2023-01,0.9680365085951251,BA.5.2.1,node_3131041
2023-01,0.9503349532268508,XBB,node_2475907
2023-01,1.01129,XBB.1,node_2374880
2022-12,1.0188436877306053,BA.5.2,node_3363270
2022-12,1.0196366430912103,BA.5.2.1,node_3179529
2022-11,0.9699926376742223,BA.4_dropout,node_2759607
2022-11,1.003299610586498,BQ.1.1,node_2852557
2022-12,0.9368413793649324,BQ.1.10.3,node_2818717
2022-11,1.0,BA.5.9,node_2768108
2022-12,0.9855830351582696,BA.5.2.1,node_3182459
2022-12,0.8517638654848932,BF.7.18,node_3209617
2022-10,0.9816336346948592,BQ.1,node_2808002
2022-12,1.0470187978799994,BA.5.2,node_3241133
2022-12,0.7772950493109542,BA.5.2.1,node_3234564
2022-08,0.9783019144794122,BA.5.2,node_3363217
2022-11,0.9950148761679143,BQ.1,node_2816265
2022-11,0.9845243575000003,BN.1.9,node_2559250
2022-10,0.9710445360341194,BA.5.3,node_2774372
2022-10,1.1214674099999995,BA.2.75,node_2535839
2022-11,1.0553408117027043,BE.4.1.1,node_2920947
2022-11,0.9305021714860445,BF.7,node_3213018
2022-10,1.0,BE.1.4,node_2936212
2022-09,1.086022774833249,BA.5.2.1,node_3132720
2022-12,1.09742768438278,XBB.2.6,node_2478877
2022-11,1.0056784583002583,DB.3,node_3257105
2022-07,0.4958532422648447,BA.2,node_3368638
2022-12,0.9488372141536449,BQ.1.1,node_2852515
2022-10,1.0512777660583388,BQ.1.1,node_2887924
