Month,Score,Strain,Node
2021-01,1.6349576974741995,XB,node_19414
2021-08,2.0432677424013295,XC,node_757627
2021-02,1.4488541154193928,XA,node_1464631
2022-01,5.431581200307577,XS,node_1867526
2022-07,9.983603850073177,XAW,node_1867553
2022-02,6.399672469043672,XD,node_1867569
2022-01,5.139128270252112,XF,node_2006441
2022-02,5.894295557890426,XP,node_2045160
2022-07,15.372076893609405,XAY,node_2152938
2022-05,13.597519200372735,XBA,node_2153488
2022-09,18.16171087141916,XBC,node_2153494
2022-03,8.406890076893571,XZ,node_2160142
2022-03,8.406637887844498,XAD,node_2160308
2022-04,8.12722359556748,XAT,node_2160392
2022-03,8.615014230570235,XT,node_2160577
2022-03,8.407478518008073,XAH,node_2160628
2022-04,8.406301635779066,XAP,node_2160668
2022-03,7.9926162318613025,XAE,node_2160763
2022-03,8.126795622505924,XAC,node_2160825
2022-05,8.257521672879188,XAK,node_2263537
2022-08,15.152021158332294,XBB_dropout,node_2289664
2022-10,20.87873488544235,XBB,node_2289673
2023-03,26.782892860330183,XCE,node_2313904
2023-02,25.522543695057305,XBL,node_2317233
2022-12,24.30288073615883,XBV,node_2371688
2023-07,35.87198704221303,XCM,node_2371825
2022-12,21.690378581976404,XCG,node_2374779
2023-02,26.2853671222375,XCC,node_2374824
2023-02,26.480450135125842,XBW,node_2399128
2023-06,32.73499904200136,XCK,node_2399170
2023-03,27.620032627590085,XCD,node_2399175
2023-06,37.81081439144674,XCL,node_2433773
2023-06,30.395179376910825,XCH,node_2433826
2023-03,27.819687606855556,XCF,node_2453298
2022-11,20.119205923229487,XBN,node_2475824
2023-04,26.608228026015436,XCJ,node_2483312
2022-11,18.872480078930447,XBJ,node_2523919
2022-09,18.266788977590515,XBD,node_2535705
2022-11,19.452779840322968,XBP,node_2535865
2022-12,24.842077938454203,XBR,node_2535910
2022-12,22.702965832045045,XCA,node_2535950
2022-11,21.99147076052319,XBS,node_2535984
2023-01,18.141614743802577,XBY,node_2537928
2022-10,19.97165575373875,XBU,node_2565068
2022-11,21.041920388091047,XBF,node_2588106
2022-10,18.723068370415135,XBK,node_2591890
2022-10,18.584985741183328,XBQ,node_2592466
2022-09,15.40425113886499,XBH,node_2598995
2022-06,12.670247246740615,XAJ,node_2685033
2022-05,12.128138407174374,XAS,node_2759730
2022-12,15.603130702424272,XCB,node_2777910
2022-11,19.74695386273987,XBZ,node_2837476
2022-06,13.701070366701163,XAZ,node_2949678
2022-06,12.59919961670263,XAV,node_2964228
2022-06,12.814257651303823,XAN,node_2997440
2022-09,17.545551798288294,XBM,node_3155766
2022-08,15.60970465293086,XBE,node_3361384
2022-08,17.469492483045137,XBG,node_3363218
2022-11,17.68408881398275,XBT,node_3363547
2022-03,7.8071591045733255,XL,node_3394068
2022-02,7.806066255297584,XU,node_3394089
2022-02,7.805746206581119,XG,node_3394100
2022-04,7.63221987853559,XY,node_3394238
2022-03,7.4689462410726835,XE,node_3394400
2022-03,7.556923990606511,XJ,node_3394928
2022-03,7.631227818919129,XV,node_3394979
2022-03,7.310725608253303,XM,node_3395004
2022-03,7.042054485427775,XK,node_3395144
2022-04,7.310725608253303,XAQ,node_3395280
2022-04,7.318330739706093,XAL,node_3395330
2022-03,7.945954199790735,XH,node_3395460
2022-04,7.415109626939677,XAF,node_3395493
2022-03,7.980724408988296,XAB,node_3395641
2022-04,7.686768160888277,XAM,node_3395694
2022-04,7.980724408988296,XAG,node_3395814
2022-03,8.275053525191788,XQ,node_3395950
2022-03,8.378585503681752,XR,node_3395979
2022-03,7.983358048043263,XAA,node_3396082
2022-04,8.051241675267484,XAU,node_3396226
2022-03,8.245455613690426,XAR,node_3396325
2022-04,8.451349482591244,XW,node_3396409
2022-03,8.246692382561722,XN,node_3396475
