Month,Score,Strain,Node
2021-01,0.993191767592979,XB,node_19414
2021-08,1.0436503538538129,XC,node_757627
2021-02,1.1362531552592132,XA,node_1464631
2022-01,1.4062089796018575,XS,node_1867526
2022-07,1.8622976828752644,XAW,node_1867553
2022-02,1.7528142590975073,XD,node_1867569
2022-01,1.4075622393180227,XF,node_2006441
2022-02,0.8395130262794662,XP,node_2045160A
2022-07,2.90646860142383,XAY,node_2152938
2022-05,2.5709448948678424,XBA,node_2153488
2022-09,3.4253226391523124,XBC,node_2153494
2022-03,1.2345639674334443,XZ,node_2160142
2022-03,1.2345269331068243,XAD,node_2160308
2022-04,1.1933287394684151,XAT,node_2160392
2022-03,1.2651273004295542,XT,node_2160577
2022-03,1.2346503808622242,XAH,node_2160628
2022-04,1.234477554004664,XAP,node_2160668
2022-03,1.1737272540889148,XAE,node_2160763
2022-03,1.1934316916808043,XAC,node_2160825
2022-05,1.2126290012589682,XAK,node_2263537
2022-10,1.3053789701962433,XBB,node_2289673
2023-03,1.2059072519672067,XCE,node_2313904
2023-02,1.3060374939409918,XBL,node_2317233
2022-12,1.2453547549321957,XBV,node_2371688
2023-07,1.2005569460897534,XCM,node_2371825
2022-12,1.2083244441434522,XCG,node_2374779
2023-02,1.0994375319244598,XCC,node_2374824
2023-02,1.3018219736975072,XBW,node_2399128
2023-06,1.1489340754043174,XCK,node_2399170
2023-03,1.2992861042180315,XCD,node_2399175
2023-06,1.2590152668253838,XCL,node_2433773
2023-06,1.0980501698631184,XCH,node_2433826
2023-03,1.111018961102425,XCF,node_2453298
2022-11,1.2286646676024962,XBN,node_2475824
2023-04,1.029386707946757,XCJ,node_2483312
2022-11,1.219330494090536,XBJ,node_2523919
2022-09,1.212254995526594,XBD,node_2535705
2022-11,1.26094668538713,XBP,node_2535865
2022-12,1.6102858353278162,XBR,node_2535910
2022-12,1.4716266646391643,XCA,node_2535950
2022-11,1.425506914173214,XBS,node_2535984
2023-01,0.8946102926517568,XBY,node_2537928
2022-10,1.2758689889989803,XBU,node_2565068
2022-11,1.2709935008180262,XBF,node_2588106
2022-10,1.1579063044262363,XBK,node_2591890
2022-10,1.1493667454310932,XBQ,node_2592466
2022-09,1.2759208939589455,XBH,node_2598995
2022-06,1.1708421454755522,XAJ,node_2685033
2022-05,1.1351730346198399,XAS,node_2759730
2022-12,0.9614200384200635,XCB,node_2777910
2022-11,1.177331385835998,XBZ,node_2837476
2022-06,1.2650822452185433,XAZ,node_2949678
2022-06,1.179263559048186,XAV,node_2964228
2022-06,1.186570091186639,XAN,node_2997440
2022-09,1.3907930829423023,XBM,node_3155766
2022-08,1.022472783040997,XBE,node_3361384
2022-08,1.4015633317228453,XBG,node_3363218
2022-11,1.1251081430109884,XBT,node_3363547
2022-03,1.1464926067033434,XL,node_3394068
2022-02,1.1463321202065146,XU,node_3394089
2022-02,1.1462851205895865,XG,node_3394100
2022-04,1.1208025283293572,XY,node_3394238
2022-03,1.096825558510575,XE,node_3394400
2022-03,1.1097452182797536,XJ,node_3394928
2022-03,1.1206568429397747,XV,node_3394979
2022-03,1.0412523972381393,XM,node_3395004
2022-03,1.0341358867421597,XK,node_3395144
2022-04,1.0735906297323101,XAQ,node_3395280
2022-04,1.0747074542861383,XAL,node_3395330
2022-03,1.1668748671878557,XH,node_3395460
2022-04,1.0889195738564035,XAF,node_3395493
2022-03,1.1719809226998001,XAB,node_3395641
2022-04,1.0880966807823953,XAM,node_3395694
2022-04,1.1719809226998001,XAG,node_3395814
2022-03,1.1785997426373827,XQ,node_3395950
2022-03,1.1933456005138947,XR,node_3395979
2022-03,1.1723676764042912,XAA,node_3396082
2022-04,1.139689549583486,XAU,node_3396226
2022-03,1.2108570830148715,XAR,node_3396325
2022-04,1.2410928954657867,XW,node_3396409
2022-03,1.2110387043124715,XN,node_3396475
