Month,Score,Strain,Node
2023-07,30.395179376910825,XCH,node_2433826
2023-07,31.177156177484424,EG.5.1,node_2340748
2023-08,31.546735884502922,XBB.1.5.70,node_2434422
2023-05,29.622792773424063,GE.1,node_2488198
2023-07,38.45989900465209,EG.5.1.3,node_2340355
2023-04,16.344604325364052,BA.2,node_2620270
2022-07,10.731189861018727,BA.2.10.1,node_2289655
2023-08,38.46788197595367,HK.6,node_2336576
2023-07,30.94628386388851,XBB.1.16,node_2298525
2023-06,31.69411717501261,XBB.1,node_2291749
2023-07,37.258826321537164,EG.5.1.6,node_2334521
2023-07,29.110466663370286,EG.5.2,node_2332910
2023-08,33.02896039526648,EG.5.1,node_2334145
2023-06,30.29777517989124,XBB.1.16,node_2298914
2023-05,26.608228026015436,XCJ,node_2483312
2023-05,30.998234190813058,XBB.1,node_2291747
2023-07,29.62501461912523,GE.1,node_2488394
2023-07,29.817585741065123,XBB.1.16,node_2294783
2023-06,33.98985762036975,XBB.2.3.11,node_2486623
2023-07,38.04425294665961,EG.5.1.4,node_2333899
2023-06,32.314073140676975,XBB.1.16.6,node_2310305
2022-04,9.42050332582587,BA.2.10.1,node_2289580
2023-06,32.73499904200136,XCK,node_2399170
2023-07,38.4387934020033,XBB.1.16,node_2292523
2023-05,30.29777517989124,XBB.1.16,node_2298913
2023-05,29.893167779192872,XBB.2.3,node_2489041
2023-07,31.478275966598005,XBB.1.16,node_2293534
2023-06,30.369789298642644,XBB.1.9.1,node_2350980
2023-07,28.260936719404533,XBL.3,node_2317325
2023-06,24.000001879884326,XBB.1.5_17124,node_2430915
2023-06,28.979998442230603,GF.1,node_2318607
2023-04,27.34276539005163,XBB.1,node_2291802
2023-06,32.34360935471972,FE.1.2,node_2369802
2023-06,33.40612067175632,XBB.1.16,node_2292522
2023-06,31.58434434404501,XBB.1.16,node_2300964
2023-05,29.73225717204647,GE.1,node_2488477
2023-06,31.236557908803004,EG.5.1.1,node_2337026
2023-04,27.69783761130733,XBB.2.3,node_2489306
2023-07,33.4705274996919,FL.1.5,node_2352162
2023-06,16.36252359053021,BF.7,node_3234202
2023-05,29.790972536015225,XBB.1.16.1,node_2305420
2023-06,31.791710317801847,XBB.1.16.2,node_2308979
2023-06,29.441970006705944,XBB.1,node_2291782
2023-04,30.29777517989124,XBB.1.16,node_2300534
2023-06,28.99301020113527,FL.25,node_2328010
2023-04,29.399493403172524,FL.4.8,node_2358124
2023-05,25.985481590782907,XBB.1.9.1,node_2326914
2023-06,32.01107519919765,EG.5.1,node_2333503
2023-04,23.91329017483579,XBB.1.5.20,node_2402808
2023-05,26.89448535591052,XBC.1.6,node_2155229
2023-04,25.271411714566693,XBB.1.9.1,node_2355176
2023-05,31.383707716865864,XBB.2.3.3,node_2485420
2023-04,27.44076340632337,XBB.1.5.71,node_2435123
2023-03,23.986328545256097,XBB.1.5,node_2317945
2023-05,35.70970802025158,GJ.1.2,node_2484169
2023-04,26.480450135125842,XBB.1.5_17124,node_2399161
2023-05,27.896115487191505,FL.22,node_2350878
