Month,Score,Strain,Node
2023-07,30.395179376910825,XCH,node_2433826
2023-07,31.177156177484424,EG.5.1,node_2340748
2023-06,31.69411717501261,XBB.1,node_2291749
2023-07,29.110466663370286,EG.5.2,node_2332910
2023-05,26.608228026015436,XCJ,node_2483312
2023-05,30.998234190813058,XBB.1,node_2291747
2023-06,33.98985762036975,XBB.2.3.11,node_2486623
2023-07,29.817585741065123,XBB.1.16,node_2294783
2023-07,38.04425294665961,EG.5.1.4,node_2333899
2023-06,32.314073140676975,XBB.1.16.6,node_2310305
2023-07,38.4387934020033,XBB.1.16,node_2292523
2023-06,30.369789298642644,XBB.1.9.1,node_2350980
2023-06,28.979998442230603,GF.1,node_2318607
2023-04,27.34276539005163,XBB.1,node_2291802
2023-06,33.40612067175632,XBB.1.16,node_2292522
2023-06,31.58434434404501,XBB.1.16,node_2300964
2023-05,29.73225717204647,GE.1,node_2488477
2023-04,27.69783761130733,XBB.2.3,node_2489306
2023-05,29.790972536015225,XBB.1.16.1,node_2305420
2023-04,30.29777517989124,XBB.1.16,node_2300534
2023-06,28.99301020113527,FL.25,node_2328010
2023-04,25.271411714566693,XBB.1.9.1,node_2355176
2023-05,31.383707716865864,XBB.2.3.3,node_2485420
2023-05,35.70970802025158,GJ.1.2,node_2484169
2023-04,26.480450135125842,XBB.1.5_17124,node_2399161
2023-05,27.896115487191505,FL.22,node_2350878
2023-02,26.955115917113705,XBB.1.9,node_2365308
2023-05,30.47302613487195,FE.1.1.1,node_2368569
2023-05,29.294004265439206,GY.5,node_2309193
2023-04,24.567294829500806,XBB.1.22,node_2316620
2023-02,27.899157492536276,XBB.1.5_17124,node_2399167
2023-05,27.766658375044205,XBB.1.9,node_2323000
2023-05,26.53553874491379,XBB.1,node_2291732
2023-04,22.063446348730086,XBC.1.6.4,node_2155204
2023-05,32.25374647311355,XBB.1.16.1,node_2307263
2023-05,24.5907386935904,XBB.1.5.43,node_2317874
2023-04,26.63246568562015,XBB.1.5_17124,node_2432183
2023-02,25.897480318425508,FL.13,node_2323933
2023-03,24.578104114947227,XBB.1.43.1,node_2322687
2023-03,23.80999437835906,XBB.1.5_17124,node_2399111
2022-12,22.702965832045045,XCA,node_2535950
2023-03,23.85860501779817,XBB.1.5_17124,node_2407149
2022-11,17.68408881398275,XBT,node_3363547
2023-02,24.321378781434884,XBB.1.5_17124,node_2407120
2022-12,15.603130702424272,XCB,node_2777910
2023-02,23.172364818369523,XBB.1.5_17124,node_2407123
2023-03,26.060177595560614,XBB.1.5_17124,node_2408420
2022-12,23.22672231778913,XBB.1,node_2371677
2022-10,17.67843171583368,BA.5.2,node_3363545
2022-12,19.04672865662123,BA.4_dropout,node_2759634
2022-10,19.155894463375855,BA.4_dropout,node_2759619
2023-01,21.195867267660628,BQ.1.1.66,node_2861778
2023-01,17.957367064051404,BA.4_dropout,node_2759639
2022-09,15.079112794847962,BA.5.2,node_3363540
2022-10,18.581790594948355,BN.1.3,node_2550083
2023-01,23.236609058852647,XBB,node_2475905
